id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
54e38c65-47d9-4300-9a2b-1748b327a406,Mnist_FedAvg_CNN_512b_0.01lr_0.03al_0.01eta_0.02L_0p_100ge_10le_32u10tau,training the FedAvg model,,2023-10-24 18:10:25,632.9158246517181,0.0138430122689666,0.0054091570440987,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:300.0", 2 device(s),Linux,US/Iowa,0
d90976fc-9fef-448d-bc32-38129bccd69a,Mnist_DONE_CNN_0b_1lr_0.0005al_0.05eta_0.02L_0p_100ge_120le_32u10tau,training the DONE model,,2023-10-24 18:21:14,6887.545325040817,0.2968423997156947,0.1159911676889077,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:300.0", 2 device(s),Linux,US/Iowa,0
8fb3fb91-e554-4124-a860-61371bac4679,Mnist_Sophia_CNN_512b_0.0005lr_0.03al_1.0eta_0.001L_0.01p_100ge_10le_32u5tau,training the Sophia model,N/A,2023-10-24 20:16:17,708.1971297264099,0.016650459388936778,0.006506167006227046,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:300.0", 2 device(s),Linux,US/Iowa,0
